Field ID,Description,Category,N,beta,p
25877,Volume of grey matter in Occipital Pole (right),T1 structural brain MRI,21389,-0.047759113,7.45E-15
25876,Volume of grey matter in Occipital Pole (left),T1 structural brain MRI,21389,0.041575747,5.01E-11
25858,Volume of grey matter in Temporal Occipital Fusiform Cortex (left),T1 structural brain MRI,21389,0.039614022,1.02E-09
25856,"Volume of grey matter in Temporal Fusiform Cortex, posterior division (left)",T1 structural brain MRI,21389,0.029877249,1.35E-06
25848,"Volume of grey matter in Parahippocampal Gyrus, anterior division (left)",T1 structural brain MRI,21389,0.029681947,1.70E-06
25859,Volume of grey matter in Temporal Occipital Fusiform Cortex (right),T1 structural brain MRI,21389,-0.028314915,7.26E-06
25070,Mean FA in cerebral peduncle on FA skeleton (right),Diffusion brain MRI,19385,0.081169846,6.90E-34
25074,Mean FA in posterior limb of internal capsule on FA skeleton (right),Diffusion brain MRI,19385,0.066805613,7.14E-21
25075,Mean FA in posterior limb of internal capsule on FA skeleton (left),Diffusion brain MRI,19385,-0.065909314,8.17E-21
25071,Mean FA in cerebral peduncle on FA skeleton (left),Diffusion brain MRI,19385,-0.057915359,1.33E-18
25072,Mean FA in anterior limb of internal capsule on FA skeleton (right),Diffusion brain MRI,19385,0.061290217,2.40E-18
25066,Mean FA in inferior cerebellar peduncle on FA skeleton (right),Diffusion brain MRI,19385,0.05821676,2.48E-17
25078,Mean FA in anterior corona radiata on FA skeleton (right),Diffusion brain MRI,19385,0.055004452,1.88E-16
25093,Mean FA in cingulum hippocampus on FA skeleton (left),Diffusion brain MRI,19385,0.049086527,3.19E-12
25082,Mean FA in posterior corona radiata on FA skeleton (right),Diffusion brain MRI,19385,-0.045831737,1.82E-10
25083,Mean FA in posterior corona radiata on FA skeleton (left),Diffusion brain MRI,19385,0.044055195,5.10E-10
25097,Mean FA in superior longitudinal fasciculus on FA skeleton (left),Diffusion brain MRI,19385,0.040754061,8.46E-09
25067,Mean FA in inferior cerebellar peduncle on FA skeleton (left),Diffusion brain MRI,19385,-0.036922849,7.18E-08
25089,Mean FA in external capsule on FA skeleton (left),Diffusion brain MRI,19385,0.03613173,7.57E-08
25101,Mean FA in uncinate fasciculus on FA skeleton (left),Diffusion brain MRI,19385,0.038062054,9.87E-08
25064,Mean FA in medial lemniscus on FA skeleton (right),Diffusion brain MRI,19385,0.03595903,1.61E-07
25100,Mean FA in uncinate fasciculus on FA skeleton (right),Diffusion brain MRI,19385,-0.035521726,6.24E-07
25092,Mean FA in cingulum hippocampus on FA skeleton (right),Diffusion brain MRI,19385,-0.034430127,9.40E-07
25087,Mean FA in sagittal stratum on FA skeleton (left),Diffusion brain MRI,19385,0.03443748,1.08E-06
25073,Mean FA in anterior limb of internal capsule on FA skeleton (left),Diffusion brain MRI,19385,-0.032945181,2.55E-06
25103,Mean FA in tapetum on FA skeleton (left),Diffusion brain MRI,19385,0.033125631,3.48E-06
25359,Mean ICVF in cerebral peduncle on FA skeleton (left),Diffusion brain MRI,19385,0.053954564,3.09E-14
25386,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right),Diffusion brain MRI,19385,0.028050616,1.38E-05
25454,Mean ISOVF in cerebral peduncle on FA skeleton (right),Diffusion brain MRI,19385,0.044114775,5.74E-12
25471,Mean ISOVF in sagittal stratum on FA skeleton (left),Diffusion brain MRI,19385,-0.040730291,3.31E-09
